date,close,high,low,pre_close,range,change,vol,turnover
11/3/22,5255.9188,5334.4703,5219.0239,5327.0683,-71.1495,-1.3356,6967062,5289139881
11/2/22,5327.0683,5353.4171,5198.7214,5263.6467,63.4216,1.2049,7942741,6163151523
11/1/22,5263.6467,5272.8801,5111.0596,5221.7442,41.9025,0.8025,9332301,7611950682
10/31/22,5221.7442,5418.9665,5209.5611,5469.1523,-247.4081,-4.5237,9515429,7225189637
10/28/22,5469.1523,5595.1095,5450.2435,5589.8962,-120.7439,-2.16,6734515,4625932219
10/27/22,5589.8962,5632.8247,5529.5332,5525.5213,64.3749,1.165,6037706,4570518594
10/26/22,5525.5213,5670.7676,5496.2751,5639.6109,-114.0896,-2.023,7848361,6194093875
10/25/22,5639.6109,5714.6548,5624.2813,5688.6208,-49.0099,-0.8615,6261274,4929542488
10/24/22,5688.6208,5863.0723,5673.1377,5895.1001,-206.4793,-3.5026,8337378,6166123764
10/21/22,5895.1001,5998.7935,5860.9111,5872.149,22.9511,0.3908,7455109,6025166415
10/20/22,5872.149,5931.3923,5832.8852,5912.0656,-39.9166,-0.6752,5709904,4377596213
10/19/22,5912.0656,6007.7039,5908.4153,5941.0212,-28.9556,-0.4874,6863695,4858710402
10/18/22,5941.0212,6052.8791,5901.9137,6009.6808,-68.6596,-1.1425,6522317,4986910450
10/17/22,6009.6808,6025.2184,5836.3828,6036.3336,-26.6528,-0.4415,7225328,5607007844
10/14/22,6036.3336,6194.5767,6013.4295,6032.0751,4.2585,0.0706,7720055,6067516463
10/13/22,6032.0751,6146.5243,5936.6198,6171.3512,-139.2761,-2.2568,8079142,6331325569
10/12/22,6171.3512,6176.0201,6013.0671,6056.1182,115.233,1.9028,6774006,4794341638
10/11/22,6056.1182,6204.3228,6033.9151,6190.3602,-134.242,-2.1686,6013878,4668775246
10/10/22,6190.3602,6340.0805,6126.9483,6140.0254,50.3348,0.8198,9353181,7231498704
9/30/22,6140.0254,6204.6474,6016.0678,5974.5762,165.4492,2.7692,8278217,6146453230
9/29/22,5974.5762,6119.1574,5944.7012,6086.5472,-111.971,-1.8396,6670100,4652970886
9/28/22,6086.5472,6195.1106,6084.867,6183.7686,-97.2214,-1.5722,6238266,4300152993
9/27/22,6183.7686,6196.8137,6046.1664,6152.159,31.6096,0.5138,7901863,5633495049
9/26/22,6152.159,6297.2307,6143.5034,6194.3832,-42.2242,-0.6817,8106197,5362601299
9/23/22,6194.3832,6326.9509,6172.5226,6187.6175,6.7657,0.1093,8154671,5684963034
9/22/22,6187.6175,6280.8169,6116.2508,6276.1985,-88.581,-1.4114,6685816,5496613377
