date,close,high,low,pre_close,range,change,vol,turnover,Ln,Hn,RSV,Ki,Di,Ji,MA,BIAS,SD,WR,DIF_UP,DIF_DN,DIF,ACD,rsi,DMA,BBI
11/3/22,5255.9188,5334.4703,5219.0239,5327.0683,-71.1495,-1.3356,6967062,5289139881,5111.0596,5595.1095,29.92650138,25.53127161,19.44217064,37.70947355,5307.50606,-0.00971968,149.5873798,70.07349862,36.8949,-78.5515,-78.5515,-670.0121,0.200205451,-548.665326,5502.482039
11/2/22,5327.0683,5353.4171,5198.7214,5263.6467,63.4216,1.2049,7942741,6163151523,5111.0596,5632.8247,41.39960683,23.33365672,16.39762015,37.20572987,5374.30154,-0.008788722,151.8432533,58.60039317,128.3469,-26.3488,128.3469,-736.0418,0.321871734,-503.218406,5534.91623
11/1/22,5263.6467,5272.8801,5111.0596,5221.7442,41.9025,0.8025,9332301,7611950682,5111.0596,5670.7676,27.26191157,14.30068167,12.92960186,17.04284127,5413.99214,-0.027769793,174.6563951,72.73808843,152.5871,-9.2334,152.5871,-972.9521,0.184322947,-457.155898,5582.96432
10/31/22,5221.7442,5418.9665,5209.5611,5469.1523,-247.4081,-4.5237,9515429,7225189637,5209.5611,5714.6548,2.412047507,7.820066716,12.24406196,-1.027923775,5489.18498,-0.048721401,176.7097144,97.58795249,12.1831,-247.4081,-247.4081,-987.937,0.108541721,-401.369094,5654.504091
10/28/22,5469.1523,5595.1095,5450.2435,5589.8962,-120.7439,-2.16,6734515,4625932219,5450.2435,5863.0723,4.580300599,10.52407632,14.45605958,2.660109792,5582.5603,-0.020314693,151.3902777,95.4196994,18.9088,-125.9572,-125.9572,-885.6006,0.11995346,-335.528454,5734.945917
10/27/22,5589.8962,5632.8247,5529.5332,5525.5213,64.3749,1.165,6037706,4570518594,5496.2751,5998.7935,18.63038249,13.49596418,16.42205122,7.643790109,5667.74986,-0.013736255,143.3099555,81.36961751,64.3749,-42.9285,64.3749,-737.7828,0.195873044,-285.855864,5790.093823
10/26/22,5525.5213,5670.7676,5496.2751,5639.6109,-114.0896,-2.023,7848361,6194093875,5496.2751,5998.7935,5.819926196,10.92875503,17.88509473,-2.983924389,5724.20042,-0.034708624,143.7832432,94.1800738,29.2462,-145.2463,-145.2463,-895.3571,0.052434557,-244.696474,5829.229199
10/25/22,5639.6109,5714.6548,5624.2813,5688.6208,-49.0099,-0.8615,6261274,4929542488,5624.2813,6007.7039,3.998095052,13.48316944,21.36326459,-2.277020851,5801.50928,-0.027906252,117.8098899,96.00190495,15.3296,-75.0439,-75.0439,-611.3253,0.066041403,-185.49147,5902.350631
10/24/22,5688.6208,5863.0723,5673.1377,5895.1001,-206.4793,-3.5026,8337378,6166123764,5673.1377,6052.8791,4.077274693,18.22570664,25.30331216,4.070495587,5861.79134,-0.029542256,102.5744407,95.92272531,15.4831,-206.4793,-206.4793,-744.7874,0.063047511,-147.312172,5955.830934
10/21/22,5895.1001,5998.7935,5860.9111,5872.149,22.9511,0.3908,7455109,6025166415,5832.8852,6052.8791,28.28028414,25.29992261,28.84211492,18.21553798,5926.00334,-0.005214854,71.08401954,71.71971586,34.189,-103.6934,34.189,-415.0126,0.124561739,-100.038054,6002.863591
10/20/22,5872.149,5931.3923,5832.8852,5912.0656,-39.9166,-0.6752,5709904,4377596213,5832.8852,6194.5767,10.85560485,23.80974185,30.61321108,10.20280337,5954.25004,-0.013788645,74.86013843,89.14439515,39.2638,-59.2433,-59.2433,-710.0987,0.025060344,-73.192054,6023.628061
10/19/22,5912.0656,6007.7039,5908.4153,5941.0212,-28.9556,-0.4874,6863695,4858710402,5836.3828,6194.5767,21.12900303,30.28681035,34.0149457,22.83053964,5986.23526,-0.012390034,75.71037846,78.87099697,3.6503,-95.6383,-95.6383,-486.291,0.016049832,-60.795676,6059.204021
10/18/22,5941.0212,6052.8791,5901.9137,6009.6808,-68.6596,-1.1425,6522317,4986910450,5836.3828,6194.5767,29.21278112,34.865714,35.87901338,32.83911525,6038.09238,-0.016076465,73.9819324,70.78721888,39.1075,-111.8579,-111.8579,-508.4295,0.339410409,-43.690578,6085.320332
10/17/22,6009.6808,6025.2184,5836.3828,6036.3336,-26.6528,-0.4415,7225328,5607007844,5836.3828,6204.3228,47.0995271,37.69218044,36.38566306,40.3052152,6061.11178,-0.008485404,61.74117152,52.9004729,173.298,-26.6528,-26.6528,-533.4625,0.288496119,-21.495526,6112.983427
10/14/22,6036.3336,6194.5767,6013.4295,6032.0751,4.2585,0.0706,7720055,6067516463,5936.6198,6340.0805,24.71462524,32.98850711,35.73240437,27.50071259,6097.24766,-0.009990419,66.46128261,75.28537476,22.9041,-158.2431,22.9041,-257.1707,0.386944837,-9.326378,6137.850838
10/13/22,6032.0751,6146.5243,5936.6198,6171.3512,-139.2761,-2.2568,8079142,6331325569,5936.6198,6340.0805,23.6591321,37.12544805,37.104353,37.16763814,6117.98602,-0.014042353,62.35127529,76.3408679,95.4553,-139.2761,-139.2761,-320.4136,0.553765176,3.104502,6143.040461
10/12/22,6171.3512,6176.0201,6013.0671,6056.1182,115.233,1.9028,6774006,4794341638,5944.7012,6340.0805,57.32470061,43.85860602,37.09380548,57.38820711,6106.48624,0.010622305,80.88321152,42.67529939,158.2841,-4.6689,158.2841,-103.9889,0.578084211,15.027022,6163.740657
10/11/22,6056.1182,6204.3228,6033.9151,6190.3602,-134.242,-2.1686,6013878,4668775246,5944.7012,6340.0805,28.17977572,37.12555873,33.71140521,43.95386577,6089.52544,-0.005486017,82.49923239,71.82022428,22.2031,-148.2046,-148.2046,-124.4431,0.391410561,24.611838,6166.04716
10/10/22,6190.3602,6340.0805,6126.9483,6140.0254,50.3348,0.8198,9353181,7231498704,5944.7012,6340.0805,62.13248898,41.59845023,32.00432845,60.7866938,6115.05552,0.012314636,81.41410082,37.86751102,63.4119,-149.7203,63.4119,126.3479,0.545977164,40.38395,6169.846858
9/30/22,6140.0254,6204.6474,6016.0678,5974.5762,165.4492,2.7692,8278217,6146453230,5944.7012,6297.2307,55.40648371,31.33143086,27.20726756,39.57975747,6107.41528,0.005339431,77.40659877,44.59351629,165.4492,-64.622,165.4492,-1.5101,0.445062021,65.289384,6168.581614
9/29/22,5974.5762,6119.1574,5944.7012,6086.5472,-111.971,-1.8396,6670100,4652970886,5944.7012,6326.9509,7.815571863,19.29390444,25.14518591,7.591341497,6118.28684,-0.023488706,79.74881791,92.18442814,29.875,-144.5812,-144.5812,-96.6375,0.132107874,88.582394,6179.444515
9/28/22,6086.5472,6195.1106,6084.867,6183.7686,-97.2214,-1.5722,6238266,4300152993,6046.1664,6326.9509,14.38142063,25.03307072,28.07082664,18.95755889,6160.8951,-0.012067711,61.7455312,85.61857937,1.6802,-108.5634,-108.5634,109.1728,0.145298946,148.59841,6218.201891
9/27/22,6183.7686,6196.8137,6046.1664,6152.159,31.6096,0.5138,7901863,5633495049,6046.1664,6326.9509,49.0063376,30.35889577,29.5897046,31.89727812,6198.82536,-0.00242897,63.7158711,50.9936624,137.6022,-13.0451,137.6022,276.7997,0.469765674,182.693204,6241.469334
9/26/22,6152.159,6297.2307,6143.5034,6194.3832,-42.2242,-0.6817,8106197,5362601299,6116.2508,6408.3633,12.29259275,21.03517486,29.20510901,4.695306545,6202.0431,-0.008043172,105.9220739,87.70740725,8.6556,-145.0717,-145.0717,266.1432,0.212540626,211.296524,6252.922243
9/23/22,6194.3832,6326.9509,6172.5226,6187.6175,6.7657,0.1093,8154671,5684963034,6116.2508,6413.5185,26.28351483,25.40646591,33.29007609,9.639245549,6248.27088,-0.008624415,106.6461667,73.71648517,21.8606,-132.5677,21.8606,357.4732,0.327569162,259.429998,6275.180268
9/22/22,6187.6175,6280.8169,6116.2508,6276.1985,-88.581,-1.4114,6685816,5496613377,6116.2508,6594.8294,14.91222132,24.96794145,37.23188118,0.440061997,6276.58902,-0.014175139,122.6567006,85.08777868,71.3667,-93.1994,-93.1994,449.2917,0.193593846,276.435466,6295.000186
9/21/22,6276.1985,6323.564,6137.413,6199.8573,76.3412,1.2313,6607683,5001642322,6137.413,6643.9093,27.40108862,29.99580152,43.36385105,3.259702477,6358.43972,-0.012934183,125.8228101,72.59891138,138.7855,-47.3655,138.7855,426.8779,0.399162363,292.150848,6320.418786
9/20/22,6199.8573,6408.3633,6171.9397,6383.2979,-183.4406,-2.8738,8064404,7175525954,6171.9397,6643.9093,5.915126737,31.29315798,50.04787581,-6.216277684,6389.66134,-0.029704867,120.4115792,94.08487326,27.9176,-208.506,-208.506,232.4742,0.315951976,301.287796,6327.818788
9/19/22,6383.2979,6413.5185,6260.0024,6335.9739,47.324,0.7469,7420432,6381467767,6260.0024,6643.9093,32.11598958,43.9821736,59.42523472,13.09605135,6440.37696,-0.008862689,86.11441264,67.88401042,123.2955,-30.2206,123.2955,506.2276,0.341997165,304.262346,6374.552784
9/16/22,6335.9739,6594.8294,6335.9739,6596.871,-260.8971,-3.9549,11299255,9926546775,6335.9739,6643.9093,0,49.91526561,67.14676529,15.45226625,6481.78264,-0.02249516,123.8281992,100,0,-260.8971,-260.8971,486.9001,0.488098784,283.457156,6368.077325
9/15/22,6596.871,6643.9093,6474.5362,6432.3066,164.5644,2.5584,10347766,9446784001,6275.9843,6643.9093,87.21524767,74.87289841,75.76251513,73.09366498,6488.0156,0.016777919,110.2354777,12.78475233,164.5644,-47.0383,164.5644,677.4363,0.713998069,273.116758,6370.06412
9/14/22,6432.3066,6550.0834,6401.2124,6453.4354,-21.1288,-0.3274,6108635,5503470509,6275.9843,6598.6397,48.4486855,68.70172378,76.20732349,53.69052437,6442.37946,-0.001563531,110.1117031,51.5513145,31.0942,-117.7768,-117.7768,658.5401,0.595540606,238.605694,6340.774717
9/13/22,6453.4354,6579.3432,6432.3349,6590.3263,-136.8909,-2.0771,7820968,6983264020,6230.7164,6598.6397,60.53408414,78.82824292,79.96012334,76.56448208,6428.75156,0.003839601,127.3636493,39.46591586,21.1005,-136.8909,-136.8909,864.0673,0.733704192,209.794608,6311.781546
9/9/22,6590.3263,6598.6397,6340.6873,6367.1387,223.1876,3.5053,9907608,8936869060,6123.7508,6598.6397,98.24940107,87.97532231,80.52606355,102.8738398,6383.33192,0.032427325,129.0474292,1.75059893,249.639,-8.3134,249.639,903.4136,0.996593083,172.047824,6277.79699
9/8/22,6367.1387,6407.4775,6275.9843,6368.6903,-1.5516,-0.0244,6712671,5514929108,6094.6468,6407.4775,87.10522976,82.83828293,76.80143417,94.91198044,6293.97876,0.011623798,89.9117496,12.89477024,91.1544,-40.3388,-40.3388,736.1388,0.796552556,121.147772,6222.206744
9/7/22,6368.6903,6402.5094,6291.5417,6364.1671,4.5232,0.0711,6574435,5384503723,6094.6468,6402.5094,89.01487222,80.70480951,73.78300979,94.54840895,6260.46308,0.017287414,90.07536438,10.98512778,77.1486,-33.8191,77.1486,855.0857,0.819970105,94.054558,6190.870317
9/6/22,6364.1671,6382.6203,6230.7164,6226.3372,137.8299,2.2137,8992020,7164136900,6094.6468,6382.6203,93.59204927,76.54977815,70.32210993,89.00511461,6220.6888,0.023064697,80.90666423,6.407950732,137.8299,-18.4532,137.8299,712.234,0.838886313,54.667708,6150.969701
9/5/22,6226.3372,6234.5921,6123.7508,6143.5605,82.7767,1.3474,5934493,4774875222,6075.1663,6292.8205,69.45462114,68.0286426,67.20827581,69.66937616,6173.7255,0.008521872,55.3604362,30.54537886,102.5864,-8.2549,102.5864,514.5554,0.793101079,29.855708,6113.335926
9/2/22,6143.5605,6208.0066,6094.6468,6199.5603,-55.9998,-0.9033,5590592,4614089973,5943.3414,6292.8205,57.29072211,67.31565332,66.79809242,68.35077513,6142.51548,0.000170129,50.17606726,42.70927789,48.9137,-64.4461,-64.4461,284.2812,0.71960267,18.74182,6093.929573
9/1/22,6199.5603,6292.8205,6129.2385,6169.8189,29.7414,0.482,7495772,5800739395,5943.3414,6292.8205,73.31451294,72.32811893,66.53931197,83.90573286,6125.40088,0.012106868,50.83107585,26.68548706,70.3218,-93.2602,70.3218,434.0288,0.729865877,12.226968,6088.695278
8/31/22,6169.8189,6208.7383,6108.5898,6129.3506,40.4683,0.6602,6978465,5842116235,5943.3414,6208.7383,85.33539766,71.83492193,63.64490849,88.21494881,6107.57168,0.010191812,40.1169646,14.66460234,61.2291,-38.9194,61.2291,439.8044,0.813067823,-10.263252,6063.354719
8/30/22,6129.3506,6159.2087,6075.1663,6070.2871,59.0635,0.973,4939087,4218972026,5943.3414,6159.2087,86.16830803,65.08468406,59.54990177,76.15424865,6072.95494,0.009286362,41.87169221,13.83169197,59.0635,-29.8581,59.0635,175.1923,0.566493923,-22.199122,6044.546478
8/29/22,6070.2871,6081.2325,5943.3414,6057.9875,12.2996,0.203,4555355,3799205541,5943.3414,6143.2174,63.51222758,54.54287208,56.78251062,50.063595,6064.60466,0.000936984,33.69190506,36.48777242,126.9457,-10.9454,126.9457,0.3419,0.410439442,-44.658554,6038.386808
8/26/22,6057.9875,6111.7292,6020.51,6110.4143,-52.4268,-0.858,3995342,3551715886,5995.6017,6171.3369,35.49988847,50.05819433,57.90232989,34.3699232,6076.20548,-0.002998249,48.40213527,64.50011153,37.4775,-53.7417,-53.7417,-195.2126,0.432471102,-70.162864,6029.99009
8/25/22,6110.4143,6125.7306,6010.5236,5996.7352,113.6791,1.8957,5233779,4712142224,5995.6017,6171.3369,65.33272788,57.33734726,61.82439768,48.36324643,6085.3647,0.004116368,67.51900339,34.66727212,113.6791,-15.3163,113.6791,-237.2119,0.645243539,-90.75107,6022.984756
8/24/22,5996.7352,6112.3484,5995.6017,6087.5992,-90.864,-1.4926,4595815,4101305660,5969.9762,6171.3369,13.28908769,53.33965695,64.06792288,31.88312509,6064.51466,-0.011176403,71.15084482,86.71091231,1.1335,-115.6132,-115.6132,-449.2784,0.393629831,-120.81348,6013.897553
8/23/22,6087.5992,6143.2174,6032.6996,6128.2912,-40.692,-0.664,3905592,3637973261,5919.0556,6171.3369,66.80780541,73.36494158,69.43205585,81.23071305,6078.11238,0.001560817,93.48629025,33.19219459,54.8996,-55.6182,-55.6182,-352.9615,0.709150618,-151.264162,6016.568811
8/22/22,6128.2912,6171.3369,6063.0438,6103.7836,24.5076,0.4015,5433739,4937936288,5895.5083,6171.3369,84.39404036,76.64350967,67.46561298,94.99930304,6050.37842,0.01287734,103.5800951,15.60595964,65.2474,-43.0457,65.2474,-51.3717,0.849968925,-180.253422,5995.032499
