date,close,high,low,pre_close,range,change,vol,turnover
11/3/22,4331.9759,4353.3115,4312.003,4373.3773,-41.4014,-0.9467,36584631,28885834199
11/2/22,4373.3773,4390.6526,4324.1684,4364.2156,9.1617,0.2099,54103269,42468998114
11/1/22,4364.2156,4364.2156,4266.0022,4259.1418,105.0738,2.467,70110959,52346390579
10/31/22,4259.1418,4300.3991,4229.1687,4306.3128,-47.171,-1.0954,58231543,44095885142
10/28/22,4306.3128,4392.7214,4299.7875,4382.657,-76.3442,-1.742,52825467,40339714194
10/27/22,4382.657,4417.1604,4373.0119,4375.2986,7.3584,0.1682,49041063,37753885589
10/26/22,4375.2986,4427.7424,4362.1954,4395.0579,-19.7593,-0.4496,56238323,44875147795
10/25/22,4395.0579,4449.5155,4374.8242,4429.1651,-34.1072,-0.7701,53654261,44343308196
10/24/22,4429.1651,4593.4414,4424.0542,4562.9626,-133.7975,-2.9323,67663493,54532412558
10/21/22,4562.9626,4624.2951,4552.8938,4573.4867,-10.5241,-0.2301,49166427,38944341423
10/20/22,4573.4867,4616.1648,4558.5308,4591.1544,-17.6677,-0.3848,39886778,31167320802
10/19/22,4591.1544,4661.5903,4591.1544,4641.8928,-50.7384,-1.0931,32917442,27948988424
10/18/22,4641.8928,4694.3761,4631.3671,4665.9371,-24.0443,-0.5153,38501653,30730594445
10/17/22,4665.9371,4674.0545,4618.1694,4662.0601,3.877,0.0832,41356657,32695023144
10/14/22,4662.0601,4692.4506,4638.9479,4614.8002,47.2599,1.0241,49565532,41687948434
10/13/22,4614.8002,4659.4995,4592.5054,4674.9317,-60.1315,-1.2863,41941625,35401674135
10/12/22,4674.9317,4674.948,4582.2227,4612.6642,62.2675,1.3499,44830895,35394404603
10/11/22,4612.6642,4650.1837,4601.5633,4626.1502,-13.486,-0.2915,39045053,29703050411
10/10/22,4626.1502,4680.7645,4622.8845,4672.8124,-46.6622,-0.9986,48149294,38139515906
9/30/22,4672.8124,4706.1037,4656.0435,4641.4378,31.3746,0.676,36841282,29804443814
9/29/22,4641.4378,4738.8598,4626.2784,4702.9568,-61.519,-1.3081,40947838,32521966536
9/28/22,4702.9568,4753.7742,4696.0445,4741.4199,-38.4631,-0.8112,39529301,31760858196
9/27/22,4741.4199,4744.865,4694.173,4714.6013,26.8186,0.5688,37438075,29746940655
9/26/22,4714.6013,4803.449,4713.3853,4789.9343,-75.333,-1.5727,47473143,35577898865
9/23/22,4789.9343,4828.8005,4764.8873,4774.3459,15.5884,0.3265,45703197,33739668956
9/22/22,4774.3459,4787.486,4756.3404,4802.0301,-27.6842,-0.5765,38579813,30261196293
9/21/22,4802.0301,4827.4618,4746.1042,4790.0003,12.0298,0.2511,42904086,33804385308
9/20/22,4790.0003,4852.8294,4777.8815,4836.7829,-46.7826,-0.9672,40551871,34128292939
9/19/22,4836.7829,4862.6424,4816.4256,4841.8447,-5.0618,-0.1045,45763190,38905313494
9/16/22,4841.8447,4999.4029,4841.8447,5016.253,-174.4083,-3.4769,78543364,73584554269
9/15/22,5016.253,5053.647,4983.9593,4970.5126,45.7404,0.9202,65888312,57998139497
9/14/22,4970.5126,5008.2524,4960.9754,5017.7778,-47.2652,-0.942,45738172,39326823319
9/13/22,5017.7778,5058.8004,4981.5125,5005.0868,12.691,0.2536,57133787,52339329639
9/9/22,5005.0868,5016.8231,4907.1394,4905.2987,99.7881,2.0343,64207362,61307475706
9/8/22,4905.2987,4926.2747,4893.4172,4897.3674,7.9313,0.162,35567308,32062250756
9/7/22,4897.3674,4908.881,4879.1529,4925.8042,-28.4368,-0.5773,37403763,32095651563
9/6/22,4925.8042,4939.4548,4900.459,4901.13,24.6742,0.5034,51023864,45161276266
9/5/22,4901.13,4902.2315,4835.9966,4872.1866,28.9434,0.5941,39917444,32891353110
9/2/22,4872.1866,4916.164,4851.8716,4886.1637,-13.9771,-0.2861,40082015,33833349317
9/1/22,4886.1637,4936.1221,4879.3691,4915.0851,-28.9214,-0.5884,48322827,41036417827
8/31/22,4915.0851,4947.3473,4834.49,4847.7316,67.3535,1.3894,66339658,62360866865
8/30/22,4847.7316,4864.9693,4805.2263,4826.0538,21.6778,0.4492,47719738,39000319967
8/29/22,4826.0538,4837.7034,4792.1207,4864.6916,-38.6378,-0.7942,44187320,37114761221
8/26/22,4864.6916,4890.6434,4842.4802,4884.1011,-19.4095,-0.3974,43740360,39602759463
8/25/22,4884.1011,4894.7621,4803.7619,4801.4326,82.6685,1.7217,54745381,51870431373
8/24/22,4801.4326,4885.3294,4800.1076,4824.0046,-22.572,-0.4679,56820428,53466203426
8/23/22,4824.0046,4861.9144,4802.8462,4848.5826,-24.578,-0.5069,46168107,40201194999
8/22/22,4848.5826,4876.1279,4840.2198,4857.1241,-8.5415,-0.1759,40622856,33665575702
8/19/22,4857.1241,4892.7721,4832.4869,4841.6643,15.4598,0.3193,45267071,38542751551
8/18/22,4841.6643,4879.6609,4828.264,4893.354,-51.6897,-1.0563,43461838,36712365433
8/17/22,4893.354,4903.7851,4802.9086,4822.2679,71.0861,1.4741,61407407,53027249117
8/16/22,4822.2679,4852.4517,4811.2899,4819.6073,2.6606,0.0552,45322814,33616459040
8/15/22,4819.6073,4879.5024,4815.1254,4869.7024,-50.0951,-1.0287,47878122,40245950966
8/12/22,4869.7024,4882.0676,4827.5245,4857.8747,11.8277,0.2435,57161538,48936442627
8/11/22,4857.8747,4859.916,4730.4013,4713.4174,144.4573,3.0648,67311802,64752756509
8/10/22,4713.4174,4766.8565,4701.4069,4743.6534,-30.236,-0.6374,30093136,26669095327
8/9/22,4743.6534,4765.9152,4741.4065,4765.6426,-21.9892,-0.4614,31906168,24873801697
8/8/22,4765.6426,4807.6196,4753.0627,4787.128,-21.4854,-0.4488,34301591,28103677348
8/5/22,4787.128,4788.5444,4705.7379,4719.0338,68.0942,1.443,40425500,33316292162
8/4/22,4719.0338,4727.8326,4686.9696,4675.9096,43.1242,0.9223,36847079,29633277965
8/3/22,4675.9096,4768.3783,4675.0432,4732.6617,-56.7521,-1.1992,42103659,36531576830
8/2/22,4732.6617,4793.9197,4687.2736,4832.6461,-99.9844,-2.0689,58096554,48251791539
8/1/22,4832.6461,4874.8417,4820.088,4885.638,-52.9919,-1.0846,39819150,36398337982
7/29/22,4885.638,4964.9632,4879.445,4941.5015,-55.8635,-1.1305,43618013,36149812821
7/28/22,4941.5015,4982.6366,4940.5764,4938.6606,2.8409,0.0575,49164055,39279505921
7/27/22,4938.6606,4955.9607,4932.1447,4963.8749,-25.2143,-0.508,41627069,30509633427
7/26/22,4963.8749,4975.8226,4909.1341,4907.4454,56.4295,1.1499,42470003,34180967748
7/25/22,4907.4454,4923.2901,4891.716,4911.6427,-4.1973,-0.0855,34166967,29234591463
7/22/22,4911.6427,4945.7982,4878.3154,4896.7873,14.8554,0.3034,37159061,32923598436
7/21/22,4896.7873,4957.1072,4896.7873,4973.7361,-76.9488,-1.5471,40413346,36150856528
7/20/22,4973.7361,4991.2593,4961.8616,4964.8154,8.9207,0.1797,37424289,30597648600
7/19/22,4964.8154,4975.661,4922.8846,4946.5661,18.2493,0.3689,44163682,35843427934
7/18/22,4946.5661,4952.9686,4871.2372,4850.6382,95.9279,1.9776,52527349,44855433866
7/15/22,4850.6382,4968.1183,4850.6382,4987.5789,-136.9407,-2.7456,68658616,58643753684
7/14/22,4987.5789,5050.4665,4972.5806,5078.9443,-91.3654,-1.7989,70064592,63894421634
7/13/22,5078.9443,5140.3531,5066.1798,5145.4705,-66.5262,-1.2929,57751434,52008046459
7/12/22,5145.4705,5170.6676,5126.4182,5149.4112,-3.9407,-0.0765,56149937,47052975564
7/11/22,5149.4112,5179.1667,5140.979,5186.2951,-36.8839,-0.7112,48351820,39834962993
7/8/22,5186.2951,5231.7782,5179.9807,5200.7942,-14.4991,-0.2788,44167803,41186371945
7/7/22,5200.7942,5240.9648,5195.1762,5219.0923,-18.2981,-0.3506,43499447,38165260892
7/6/22,5219.0923,5288.2139,5198.066,5298.6019,-79.5096,-1.5006,53679302,50239172004
7/5/22,5298.6019,5364.0254,5269.3629,5323.0278,-24.4259,-0.4589,50605021,51399121799
7/4/22,5323.0278,5324.3677,5277.8237,5330.2026,-7.1748,-0.1346,51956013,50602736509
7/1/22,5330.2026,5380.7435,5321.3503,5369.5704,-39.3678,-0.7332,48960607,48072491272
6/30/22,5369.5704,5402.6023,5318.4046,5320.5094,49.061,0.9221,68444218,68202349959
6/29/22,5320.5094,5379.6559,5306.8787,5329.0947,-8.5853,-0.1611,77413236,74202158005
6/28/22,5329.0947,5345.162,5270.5665,5310.1928,18.9019,0.356,61675145,59569924780
6/27/22,5310.1928,5335.7552,5276.055,5275.072,35.1208,0.6658,65007416,66151647570
6/24/22,5275.072,5299.631,5243.4379,5287.7593,-12.6873,-0.2399,63761719,66219197190
