date,close,high,low,pre_close,range,change,vol,turnover,Ln,Hn,RSV,Ki,Di,Ji,MA,BIAS,SD,WR,DIF_UP,DIF_DN,DIF,ACD,rsi,DMA,BBI
11/3/22,4331.9759,4353.3115,4312.003,4373.3773,-41.4014,-0.9467,36584631,28885834199,4229.1687,4392.7214,62.85876051,50.75204595,34.33449759,83.58714268,4327.00468,0.001148883,53.46974158,37.14123949,19.9729,-41.4014,-41.4014,-442.3148,0.414316669,-335.172752,4410.7641
11/2/22,4373.3773,4390.6526,4324.1684,4364.2156,9.1617,0.2099,54103269,42468998114,4229.1687,4417.1604,76.7100888,44.69868867,26.12572341,81.8446192,4337.1409,0.008354905,57.30732098,23.2899112,49.2089,-17.2753,49.2089,-498.3354,0.500677519,-322.249234,4417.726706
11/1/22,4364.2156,4364.2156,4266.0022,4259.1418,105.0738,2.467,70110959,52346390579,4229.1687,4427.7424,68.00845228,28.69298861,16.83924077,52.40048428,4337.52516,0.00615338,68.63288735,31.99154772,105.0738,0,105.0738,-598.3617,0.444969775,-309.449336,4423.313108
10/31/22,4259.1418,4300.3991,4229.1687,4306.3128,-47.171,-1.0954,58231543,44095885142,4229.1687,4449.5155,13.60269357,9.035256775,10.91236686,5.281036614,4343.69362,-0.01946542,85.01269583,86.39730643,29.9731,-47.171,-47.171,-656.1886,0.039807824,-290.78945,4438.321782
10/28/22,4306.3128,4392.7214,4299.7875,4382.657,-76.3442,-1.742,52825467,40339714194,4299.7875,4593.4414,2.222105683,6.751538377,11.8509219,-3.447228662,4377.69828,-0.016306624,95.95267681,97.77789432,6.5253,-86.4086,-86.4086,-697.8653,0.027745703,-262.321132,4473.600042
10/27/22,4382.657,4417.1604,4373.0119,4375.2986,7.3584,0.1682,49041063,37753885589,4362.1954,4624.2951,7.806800237,9.016254724,14.40061366,-1.752463141,4429.02824,-0.010469845,92.61277681,92.19319976,9.6451,-34.5034,9.6451,-586.4097,0.036964596,-237.77764,4505.333003
10/26/22,4375.2986,4427.7424,4362.1954,4395.0579,-19.7593,-0.4496,56238323,44875147795,4362.1954,4624.2951,4.999318961,9.620981967,17.09279312,-5.322640343,4467.19418,-0.020571208,93.36914412,95.00068104,13.1032,-52.4438,-52.4438,-623.739,0,-221.178528,4527.471092
10/25/22,4395.0579,4449.5155,4374.8242,4429.1651,-34.1072,-0.7701,53654261,44343308196,4374.8242,4661.5903,7.055820057,11.93181347,20.8286987,-5.86195699,4510.36534,-0.025564989,86.11790257,92.94417994,20.2337,-54.4576,-54.4576,-515.3693,0,-198.582314,4566.120533
10/24/22,4429.1651,4593.4414,4424.0542,4562.9626,-133.7975,-2.9323,67663493,54532412558,4424.0542,4694.3761,1.890671825,14.36981018,25.27714131,-7.4448521,4559.73232,-0.028634843,69.11771494,98.10932818,5.1109,-164.2763,-164.2763,-523.7408,0,-184.233378,4604.057105
10/21/22,4562.9626,4624.2951,4552.8938,4573.4867,-10.5241,-0.2301,49166427,38944341423,4552.8938,4694.3761,7.116649927,20.60937935,30.73080688,0.366524289,4607.08672,-0.009577445,38.03380415,92.88335007,10.0688,-61.3325,-61.3325,-385.324,0.036071971,-171.694126,4637.813902
10/20/22,4573.4867,4616.1648,4558.5308,4591.1544,-17.6677,-0.3848,39886778,31167320802,4558.5308,4694.3761,11.00950861,27.35574406,35.79152065,10.4841909,4626.90622,-0.011545408,34.2315072,88.99049139,14.9559,-42.6781,-42.6781,-498.3998,0.357135946,-163.83057,4654.073325
10/19/22,4591.1544,4661.5903,4591.1544,4641.8928,-50.7384,-1.0931,32917442,27948988424,4591.1544,4694.3761,0,35.52886179,40.00940894,26.56776749,4635.16892,-0.009495775,27.03381091,100,0,-70.4359,-70.4359,-409.9813,0.276686657,-159.083918,4672.959383
