date,close,high,low,pre_close,range,change,vol,turnover
11/3/22,13258.4125,13319.0237,13159.828,13417.36,-158.9475,-1.1846,2736967,15922925276
11/2/22,13417.36,13609.7268,12995.0673,13088.8421,328.5179,2.5099,4438164,28736608198
11/1/22,13088.8421,13101.8738,12369.3278,12289.256,799.5861,6.5064,4375520,32273314408
10/31/22,12289.256,12464.1467,12129.4679,12465.4374,-176.1814,-1.4134,3591682,20847196902
10/28/22,12465.4374,12780.9067,12435.5589,12863.0661,-397.6287,-3.0912,4581524,27087623434
10/27/22,12863.0661,13318.8011,12855.8416,13322.6878,-459.6217,-3.4499,2873973,27016414294
10/26/22,13322.6878,13603.4915,13271.0776,13257.4384,65.2494,0.4922,3121497,23551555378
10/25/22,13257.4384,13425.9494,13115.2651,13216.8839,40.5545,0.3068,2494254,21502727056
10/24/22,13216.8839,13846.3464,13181.539,13939.3083,-722.4244,-5.1826,3145024,32580575190
10/21/22,13939.3083,14104.8212,13840.046,14124.5663,-185.258,-1.3116,2262658,14496971981
10/20/22,14124.5663,14356.661,13998.5429,14160.9114,-36.3451,-0.2567,3099635,18869726268
10/19/22,14160.9114,14510.2729,14136.9725,14540.087,-379.1756,-2.6078,2588115,19969309220
10/18/22,14540.087,14775.9992,14514.5954,14668.3318,-128.2448,-0.8743,2205187,12519490475
10/17/22,14668.3318,14690.3828,14516.8896,14721.8777,-53.5459,-0.3637,2425498,14672117905
10/14/22,14721.8777,14810.3553,14485.5215,14476.7833,245.0944,1.693,2739151,18061073294
10/13/22,14476.7833,14603.3277,14372.6456,14546.6551,-69.8718,-0.4803,2655285,20857132887
10/12/22,14546.6551,14593.5133,14145.5676,14593.1276,-46.4725,-0.3185,2982282,19101158267
10/11/22,14593.1276,14689.148,14392.0105,14622.2409,-29.1133,-0.1991,3043897,15897602196
10/10/22,14622.2409,15177.7997,14590.7603,15290.638,-668.3971,-4.3713,3103282,21574073531
9/30/22,15290.638,15519.8915,15262.6922,15369.1502,-78.5122,-0.5108,1998012,11655828152
9/29/22,15369.1502,15685.1839,15286.8345,15429.67,-60.5198,-0.3922,2627455,14358677652
9/28/22,15429.67,15641.3438,15362.9439,15473.998,-44.328,-0.2865,2770904,14735219758
9/27/22,15473.998,15495.8812,14891.6222,14980.9669,493.0311,3.291,2917263,17682358932
9/26/22,14980.9669,15141.7386,14727.8071,14808.4585,172.5084,1.1649,2180562,15397456417
9/23/22,14808.4585,14921.9237,14682.6849,14763.9611,44.4974,0.3014,2095944,12887639189
9/22/22,14763.9611,14936.4005,14737.2056,14939.4111,-175.45,-1.1744,1741410,10474882567
9/21/22,14939.4111,15161.7443,14905.3742,15125.2767,-185.8656,-1.2288,1783376,10821931817
9/20/22,15125.2767,15180.3851,14941.4876,15034.7604,90.5163,0.602,1972477,10849367853
9/19/22,15034.7604,15215.3576,14797.1053,14950.1725,84.5879,0.5658,2337602,13614562925
9/16/22,14950.1725,15305.7423,14949.3854,15251.3335,-301.161,-1.9747,2713941,13895362774
9/15/22,15251.3335,15372.189,15160.9688,15164.8862,86.4473,0.57,2849022,14524082365
9/14/22,15164.8862,15199.9561,15037.3293,15218.7747,-53.8885,-0.3541,1834861,10003194019
9/13/22,15218.7747,15295.747,15060.1537,15044.034,174.7407,1.1615,2661295,15827145994
9/9/22,15044.034,15072.6097,14733.8929,14794.2133,249.8207,1.6886,2158403,14549014292
9/8/22,14794.2133,14904.9874,14735.6377,14720.2867,73.9266,0.5022,2117508,11831552471
9/7/22,14720.2867,14893.1045,14685.1184,14959.537,-239.2503,-1.5993,2469720,13968509314
9/6/22,14959.537,15026.2695,14837.8043,14883.3765,76.1605,0.5117,2483880,12108909747
9/5/22,14883.3765,15117.4708,14747.8924,15197.2291,-313.8526,-2.0652,2836277,17243003827
9/2/22,15197.2291,15450.3293,15113.4736,15402.9252,-205.6961,-1.3354,2853736,13819869664
9/1/22,15402.9252,15617.7222,15397.5771,15684.7938,-281.8686,-1.7971,3044519,16396159780
8/31/22,15684.7938,15813.6504,15365.5356,15460.5881,224.2057,1.4502,3408939,22742854519
8/30/22,15460.5881,15554.409,15298.5389,15509.4743,-48.8862,-0.3152,3062606,13259787641
8/29/22,15509.4743,15625.7547,15467.8723,15639.0129,-129.5386,-0.8283,2551118,12657932593
8/26/22,15639.0129,15824.1381,15529.3641,15408.6906,230.3223,1.4948,3182346,20011451896
8/25/22,15408.6906,15408.6906,15114.0896,15087.6569,321.0337,2.1278,2981936,15651659209
8/24/22,15087.6569,15249.9841,15071.3665,15200.0662,-112.4093,-0.7395,3087983,13310956928
8/23/22,15200.0662,15418.035,15154.0991,15382.9606,-182.8944,-1.1889,2719105,14310826500
8/22/22,15382.9606,15447.1384,15202.116,15310.9173,72.0433,0.4705,2469464,10988639439
