date,close,high,low,pre_close,range,change,vol,turnover
11/3/22,5450.4811,5497.5894,5396.5516,5486.2692,-35.7881,-0.6523,16826407,36797170815
11/2/22,5486.2692,5522.4459,5374.3187,5410.3543,75.9149,1.4031,19446248,36844581056
11/1/22,5410.3543,5410.9905,5196.5704,5198.5172,211.8371,4.075,20240502,38565654036
10/31/22,5198.5172,5255.1289,5145.4749,5233.2122,-34.695,-0.663,16291990,27518141393
10/28/22,5233.2122,5373.7629,5219.7766,5425.1398,-191.9276,-3.5377,19569687,30077104828
10/27/22,5425.1398,5512.2101,5421.3241,5385.9105,39.2293,0.7284,19074975,30854050647
10/26/22,5385.9105,5436.4768,5323.3128,5340.9349,44.9756,0.8421,14535444,28326113917
10/25/22,5340.9349,5382.0965,5194.3838,5341.8504,-0.9155,-0.0171,14078548,25617656392
10/24/22,5341.8504,5488.2178,5304.7887,5346.9884,-5.138,-0.0961,16262778,27849999629
10/21/22,5346.9884,5434.3114,5322.615,5405.8871,-58.8987,-1.0895,10524629,19686810564
10/20/22,5405.8871,5467.8872,5344.6859,5467.6328,-61.7457,-1.1293,12626467,23678459887
10/19/22,5467.6328,5588.3894,5465.7688,5528.2318,-60.599,-1.0962,14025611,26515206342
10/18/22,5528.2318,5595.4506,5506.8096,5552.6684,-24.4366,-0.4401,14049040,26243877077
10/17/22,5552.6684,5559.6875,5464.5156,5564.0883,-11.4199,-0.2052,15770162,30615197625
10/14/22,5564.0883,5588.1473,5440.8459,5417.4636,146.6247,2.7065,18740469,35087439788
10/13/22,5417.4636,5488.1714,5414.6189,5484.2524,-66.7888,-1.2178,17836617,28801622435
10/12/22,5484.2524,5484.2524,5230.7339,5389.1282,95.1242,1.7651,20353205,32357089628
10/11/22,5389.1282,5412.8145,5317.6304,5308.4502,80.678,1.5198,11592302,21235805746
10/10/22,5308.4502,5460.8037,5293.2471,5421.5873,-113.1371,-2.0868,13752670,21794947321
9/30/22,5421.5873,5529.8868,5418.0352,5475.3598,-53.7725,-0.9821,14191187,23609802642
9/29/22,5475.3598,5524.6044,5437.9763,5394.7387,80.6211,1.4944,15479746,27483195351
9/28/22,5394.7387,5645.6906,5394.5953,5688.4684,-293.7297,-5.1636,17374962,30978633197
9/27/22,5688.4684,5716.8702,5557.6355,5695.0135,-6.5451,-0.1149,17134084,29941099772
9/26/22,5695.0135,5826.5168,5675.4635,5844.4274,-149.4139,-2.5565,21661531,31316982430
9/23/22,5844.4274,5965.591,5776.6794,5961.6641,-117.2367,-1.9665,14885551,28993943398
9/22/22,5961.6641,6035.2159,5930.007,5985.4636,-23.7995,-0.3976,14399887,28815877858
9/21/22,5985.4636,6005.7733,5886.665,5944.3251,41.1385,0.6921,15132427,31671929693
9/20/22,5944.3251,5998.5876,5827.6376,5771.7511,172.574,2.99,16213738,37314246394
9/19/22,5771.7511,5845.2172,5745.685,5762.0893,9.6618,0.1677,14805900,25622358719
9/16/22,5762.0893,5941.979,5758.841,5976.7848,-214.6955,-3.5922,22169017,35867745099
9/15/22,5976.7848,6239.7102,5936.0206,6175.8403,-199.0555,-3.2231,20899933,43061480431
9/14/22,6175.8403,6260.9857,6133.3928,6257.5476,-81.7073,-1.3057,18369501,35976072366
9/13/22,6257.5476,6316.2203,6227.4554,6214.5677,42.9799,0.6916,22858024,40168676523
9/9/22,6214.5677,6223.5533,6111.2119,6078.2153,136.3524,2.2433,26624008,42225328478
9/8/22,6078.2153,6139.5371,6073.9317,6122.2973,-44.082,-0.72,23037174,34020264816
9/7/22,6122.2973,6148.3703,5988.4484,6043.8498,78.4475,1.298,27905481,39195922381
9/6/22,6043.8498,6043.8498,5870.8511,5856.2618,187.588,3.2032,18639172,38569179112
9/5/22,5856.2618,5870.2755,5801.6548,5833.6599,22.6019,0.3874,12364517,25559566290
9/2/22,5833.6599,5916.8815,5802.6657,5888.6002,-54.9403,-0.933,12647277,27656024075
9/1/22,5888.6002,5972.1798,5878.0576,5956.7788,-68.1786,-1.1446,13849761,27466658864
8/31/22,5956.7788,6176.2795,5918.6134,6158.9799,-202.2011,-3.283,21034665,41905367347
8/30/22,6158.9799,6213.5757,6124.0273,6205.4311,-46.4512,-0.7486,15993599,29755954932
8/29/22,6205.4311,6235.0235,6131.0898,6252.7951,-47.364,-0.7575,17635105,32501681712
8/26/22,6252.7951,6368.6311,6189.9393,6200.6502,52.1449,0.841,20135809,45172627154
8/25/22,6200.6502,6271.7202,6113.2244,6225.1483,-24.4981,-0.3935,25766980,49802699694
8/24/22,6225.1483,6456.3387,6209.7606,6392.1718,-167.0235,-2.6129,22416052,46948288281
8/23/22,6392.1718,6439.6384,6332.7892,6417.4301,-25.2583,-0.3936,18854588,45979865420
8/22/22,6417.4301,6419.6785,6116.4627,6189.6077,227.8224,3.6807,22305671,54407815611
8/19/22,6189.6077,6309.2274,6189.6077,6326.7113,-137.1036,-2.1671,17358611,37054629159
8/18/22,6326.7113,6403.8682,6313.8907,6371.7561,-45.0448,-0.7069,18247247,34154952687
8/17/22,6371.7561,6446.8306,6298.7321,6447.4015,-75.6454,-1.1733,18791637,41605041138
8/16/22,6447.4015,6533.9203,6424.6267,6529.0426,-81.6411,-1.2504,20547499,44827992514
8/15/22,6529.0426,6556.8888,6409.9462,6424.5149,104.5277,1.627,23430303,48891093594
8/12/22,6424.5149,6501.8641,6387.5892,6413.8712,10.6437,0.1659,22846057,39745307980
8/11/22,6413.8712,6420.4871,6310.942,6394.2357,19.6355,0.3071,22613923,46685624409
8/10/22,6394.2357,6493.9921,6350.6328,6405.9026,-11.6669,-0.1821,24805358,49870067947
8/9/22,6405.9026,6425.4194,6319.548,6342.9657,62.9369,0.9922,17353424,39088720642
8/8/22,6342.9657,6368.1782,6241.3796,6294.6936,48.2721,0.7669,18492517,41269401000
8/5/22,6294.6936,6305.4161,6119.2894,6144.0612,150.6324,2.4517,23751642,47493050005
