date,close,high,low,pre_close,range,change,vol,turnover
11/7/22,9281.7514,9381.5509,9240.5707,9346.2944,-64.543,-0.6906,15592796,45530473528
11/3/22,9108.1986,9141.1818,8960.7628,9027.9685,80.2301,0.8887,15040281,41834896921
11/2/22,9027.9685,9061.0198,8888.6349,8942.6754,85.2931,0.9538,17294090,45920136238
11/1/22,8942.6754,8942.9875,8730.3183,8721.1222,221.5532,2.5404,17314839,44550156241
10/31/22,8721.1222,8815.6123,8545.2159,8636.4682,84.654,0.9802,15897136,41647453893
10/28/22,8636.4682,8868.4255,8602.6132,8869.5507,-233.0825,-2.6279,14250262,36277439394
10/27/22,8869.5507,9034.8276,8867.4883,8939.3251,-69.7744,-0.7805,14206607,40438185329
10/26/22,8939.3251,8982.3193,8752.318,8817.2763,122.0488,1.3842,13577946,37199373360
10/25/22,8817.2763,8880.3818,8644.8766,8736.8395,80.4368,0.9207,14225852,37681210623
10/24/22,8736.8395,8917.6468,8664.5662,8722.3865,14.453,0.1657,15639292,40363934254
10/21/22,8722.3865,8766.9933,8650.7747,8649.648,72.7385,0.8409,11332058,29539435576
10/20/22,8649.648,8759.865,8483.2709,8669.346,-19.698,-0.2272,11689264,34645348726
10/19/22,8669.346,8794.7553,8666.5868,8723.0844,-53.7384,-0.616,10181832,26621309401
10/18/22,8723.0844,8787.1649,8672.7466,8706.3324,16.752,0.1924,10741993,28465839159
10/17/22,8706.3324,8716.7504,8558.7807,8614.0885,92.2439,1.0708,12554230,36572659903
10/14/22,8614.0885,8662.3003,8378.0831,8367.681,246.4075,2.9448,14124096,44158535908
10/13/22,8367.681,8479.5566,8314.4176,8388.6739,-20.9929,-0.2503,10775475,30362907060
10/12/22,8388.6739,8388.6739,8000.974,8141.4271,247.2468,3.0369,12164852,33395707428
10/11/22,8141.4271,8191.8392,8063.7438,8111.478,29.9491,0.3692,9128923,25281806032
10/10/22,8111.478,8330.5938,8083.923,8287.6071,-176.1291,-2.1252,10208780,27835441871
9/30/22,8287.6071,8481.5206,8286.8619,8478.1609,-190.5538,-2.2476,9230349,23700871349
9/29/22,8478.1609,8570.4624,8429.9616,8450.8011,27.3598,0.3238,10962429,28723114681
9/28/22,8450.8011,8771.9288,8450.3009,8734.5097,-283.7086,-3.2481,10921267,27402755189
9/27/22,8734.5097,8736.6098,8613.2056,8621.1055,113.4042,1.3154,10276006,26126021308
9/26/22,8621.1055,8820.7533,8607.5336,8770.984,-149.8785,-1.7088,11006659,27291691630
9/23/22,8770.984,8948.726,8677.8952,8871.8207,-100.8367,-1.1366,10745732,28465264080
9/22/22,8871.8207,8919.2288,8713.9427,8792.5465,79.2742,0.9016,10561619,27324555869
9/21/22,8792.5465,8841.3212,8665.4921,8818.3944,-25.8479,-0.2931,9908624,26063330298
9/20/22,8818.3944,8918.6687,8770.5151,8718.0795,100.3149,1.1507,10307133,28231293524
9/19/22,8718.0795,8886.7991,8668.0459,8828.6102,-110.5307,-1.252,12099457,29794524062
9/16/22,8828.6102,9057.5067,8828.6102,8997.5407,-168.9305,-1.8775,13911628,33663753898
9/15/22,8997.5407,9361.5797,8912.8321,9314.2037,-316.663,-3.3998,16545286,42525232657
9/14/22,9314.2037,9348.0199,9230.0801,9378.4696,-64.2659,-0.6852,12153368,29689247367
9/13/22,9378.4696,9416.8591,9315.4763,9354.8512,23.6184,0.2525,12101269,30010810222
9/9/22,9354.8512,9383.9938,9265.9327,9375.5293,-20.6781,-0.2206,11887369,31732525447
9/8/22,9375.5293,9465.2916,9362.3377,9372.1144,3.4149,0.0364,12442275,32392284403
9/7/22,9372.1144,9412.8584,9250.9013,9302.2878,69.8266,0.7506,14013654,40562894754
9/6/22,9302.2878,9304.7633,9061.3184,9049.1464,253.1414,2.7974,16530546,43910392542
9/5/22,9049.1464,9110.8741,8988.0306,9039.3057,9.8407,0.1089,11771774,29565110404
9/2/22,9039.3057,9078.4159,8936.5333,9000.8764,38.4293,0.427,11947960,29561667449
9/1/22,9000.8764,9142.8909,8986.8702,9068.9967,-68.1203,-0.7511,11778127,30077745112
8/31/22,9068.9967,9362.9034,9022.5877,9347.1274,-278.1307,-2.9756,17931943,45101168708
8/30/22,9347.1274,9477.4945,9320.8754,9453.4256,-106.2982,-1.1244,12982118,33459133412
8/29/22,9453.4256,9455.4304,9186.2422,9336.2338,117.1918,1.2552,15789494,40113864031
8/26/22,9336.2338,9490.2409,9313.4381,9360.1911,-23.9573,-0.2559,15548936,38940568872
8/25/22,9360.1911,9430.1415,9244.7361,9384.0059,-23.8148,-0.2538,15984712,43697948488
8/24/22,9384.0059,9740.0371,9368.1366,9720.3815,-336.3756,-3.4605,18061894,49340164577
8/23/22,9720.3815,9797.7224,9690.279,9775.5243,-55.1428,-0.5641,15937663,49475801167
8/22/22,9775.5243,9775.5243,9590.7033,9685.4409,90.0834,0.9301,18444900,58696829117
8/19/22,9685.4409,9932.714,9682.3678,9933.7189,-248.278,-2.4993,19929353,66505888384
8/18/22,9933.7189,9973.6013,9897.7383,9938.6128,-4.8939,-0.0492,15653387,46934776277
8/17/22,9938.6128,9956.3618,9852.8357,9914.7293,23.8835,0.2409,18271308,48789380508
