date,close,high,low,pre_close,range,change,vol,turnover,Ln,Hn,RSV,Ki,Di,Ji,MA,BIAS,SD,WR,DIF_UP,DIF_DN,DIF,ACD,rsi,DMA,BBI
11/7/22,9281.7514,9381.5509,9240.5707,9346.2944,-64.543,-0.6906,15592796,45530473528,8545.2159,9381.5509,88.06704251,81.20891768,71.87325931,99.88023442,9016.34322,0.029436344,187.118075,11.93295749,41.1807,-99.7995,-99.7995,1033.5511,0.885921007,-29.154284,8908.842776
11/3/22,9108.1986,9141.1818,8960.7628,9027.9685,80.2301,0.8887,15040281,41834896921,8545.2159,9141.1818,94.46558939,77.77985527,67.20543013,98.92870555,8887.28658,0.024857083,162.0689318,5.53441061,147.4358,-32.9832,147.4358,939.4371,0.671142535,-98.130124,8843.77124
11/2/22,9027.9685,9061.0198,8888.6349,8942.6754,85.2931,0.9538,17294090,45920136238,8545.2159,9061.0198,93.59227412,69.43698821,61.91821756,84.47452951,8839.557,0.021314586,130.6010771,6.407725882,139.3336,-33.0513,139.3336,840.2006,0.567615568,-160.593468,8792.942613
11/1/22,8942.6754,8942.9875,8730.3183,8721.1222,221.5532,2.5404,17314839,44550156241,8545.2159,9034.8276,81.1785135,57.35934525,58.15883223,55.76037129,8821.82832,0.013698643,124.4320963,18.8214865,221.5532,-0.3121,221.5532,379.7393,0.590001443,-214.190934,8743.211454
10/31/22,8721.1222,8815.6123,8545.2159,8636.4682,84.654,0.9802,15897136,41647453893,8545.2159,9034.8276,35.92771578,45.44976113,58.55857573,19.23213194,8796.7485,-0.008597074,120.3756182,64.07228422,175.9063,-94.4901,175.9063,279.4902,0.490789572,-253.614128,8720.13183
10/28/22,8636.4682,8868.4255,8602.6132,8869.5507,-233.0825,-2.6279,14250262,36277439394,8602.6132,9034.8276,7.832918107,50.2107838,65.11298302,20.40638536,8799.89196,-0.01857111,116.6791374,92.16708189,33.855,-233.0825,-233.0825,-96.0639,0.420241538,-275.52103,8732.017978
10/27/22,8869.5507,9034.8276,8867.4883,8939.3251,-69.7744,-0.7805,14206607,40438185329,8644.8766,9034.8276,57.61598252,71.39971665,72.56408263,69.07098469,8817.07562,0.005951529,91.82542783,42.38401748,2.0624,-165.2769,-165.2769,-40.7234,0.809261975,-302.923476,8743.322215
10/26/22,8939.3251,8982.3193,8752.318,8817.2763,122.0488,1.3842,13577946,37199373360,8483.2709,8982.3193,91.38476348,78.29158372,73.14626562,88.5822199,8773.09508,0.018947705,89.36231808,8.615236518,187.0071,-42.9942,187.0071,282.4315,0.935795631,-370.643324,8708.32538
10/25/22,8817.2763,8880.3818,8644.8766,8736.8395,80.4368,0.9207,14225852,37681210623,8483.2709,8917.6468,76.89317018,71.74499383,70.57360658,74.08776835,8719.09926,0.011259998,55.00936018,23.10682982,172.3997,-63.1055,172.3997,46.6497,0.695650605,-442.37259,8664.596732
10/24/22,8736.8395,8917.6468,8664.5662,8722.3865,14.453,0.1657,15639292,40363934254,8483.2709,8917.6468,58.37538409,69.17090566,69.98791295,67.53689109,8700.26088,0.004204313,80.12123231,41.62461591,72.2733,-180.8073,72.2733,-25.4351,0.587111938,-526.926428,8640.146597
10/21/22,8722.3865,8766.9933,8650.7747,8649.648,72.7385,0.8409,11332058,29539435576,8483.2709,8794.7553,76.76647691,74.56866645,70.39641659,82.91316617,8694.15946,0.003246667,141.2558361,23.23352309,72.7385,-44.6068,72.7385,-266.428,0.713907644,-606.406174,8630.702023
10/20/22,8649.648,8759.865,8483.2709,8669.346,-19.698,-0.2272,11689264,34645348726,8378.0831,8794.7553,65.17471048,73.46976122,68.31029166,83.78870035,8672.49986,-0.00263498,191.1714059,34.82528952,166.3771,-110.217,-110.217,-568.063,0.83306937,-665.114234,8616.91093
10/19/22,8669.346,8794.7553,8666.5868,8723.0844,-53.7384,-0.616,10181832,26621309401,8314.4176,8794.7553,73.89143097,77.6172866,65.73055688,101.390746,8616.10646,0.006179072,196.9471282,26.10856903,2.7592,-125.4093,-125.4093,-821.885,0.829276945,-698.848972,8620.089925
10/18/22,8723.0844,8787.1649,8672.7466,8706.3324,16.752,0.1924,10741993,28465839159,8000.974,8787.1649,91.84924425,79.48021441,59.78719202,118.8662592,8559.97204,0.019055244,201.2954112,8.150755752,50.3378,-64.0805,50.3378,-760.7416,0.966605294,-735.86638,8599.804006
10/17/22,8706.3324,8716.7504,8558.7807,8614.0885,92.2439,1.0708,12554230,36572659903,8000.974,8716.7504,98.54451753,73.29569949,49.94068082,120.0057368,8443.64058,0.031111203,199.6196296,1.455482466,147.5517,-10.418,147.5517,-748.0861,0.96737487,-752.905464,8551.734733
10/14/22,8614.0885,8662.3003,8378.0831,8367.681,246.4075,2.9448,14124096,44158535908,8000.974,8662.3003,92.70983174,60.67129047,38.26317149,105.4875284,8324.6697,0.0347664,210.1685391,7.290168257,246.4075,-48.2118,246.4075,-924.7804,0.72778007,-779.184726,8514.834956
10/13/22,8367.681,8479.5566,8314.4176,8388.6739,-20.9929,-0.2503,10775475,30362907060,8000.974,8481.5206,76.31039321,44.65201983,27.059112,79.83783549,8259.37342,0.013113293,194.186803,23.68960679,53.2634,-111.8756,-111.8756,-1157.9963,0.424214118,-784.587582,8477.930077
10/12/22,8388.6739,8388.6739,8000.974,8141.4271,247.2468,3.0369,12164852,33395707428,8000.974,8570.4624,68.07862987,28.82283315,18.26265809,49.94318327,8281.4694,0.012945106,197.2247952,31.92137013,387.6999,0,387.6999,-924.9076,0.460328039,-759.483302,8476.028812
10/11/22,8141.4271,8191.8392,8063.7438,8111.478,29.9491,0.3692,9128923,25281806032,8063.7438,8771.9288,10.96935123,9.194934784,12.98257056,1.619663238,8293.89484,-0.018383129,219.1514992,89.03064877,77.6833,-50.4121,77.6833,-1059.4661,0.083354382,-742.321602,8495.965717
10/10/22,8111.478,8330.5938,8083.923,8287.6071,-176.1291,-2.1252,10208780,27835441871,8083.923,8771.9288,4.005053446,8.307726561,14.87638844,-4.829597203,8412.51136,-0.035784006,208.5432321,95.99494655,27.555,-219.1158,-219.1158,-1076.0336,0.177017527,-700.430478,8570.889159
9/30/22,8287.6071,8481.5206,8286.8619,8478.1609,-190.5538,-2.2476,9230349,23700871349,8286.8619,8820.7533,0.139578948,10.45906312,18.16071938,-4.944249412,8514.43686,-0.026640606,173.4962054,99.86042105,0.7452,-193.9135,-193.9135,-754.1454,0.185352285,-671.201798,8659.083761
9/29/22,8478.1609,8570.4624,8429.9616,8450.8011,27.3598,0.3238,10962429,28723114681,8429.9616,8948.726,9.291173411,15.6188052,22.01154752,2.83332058,8611.11224,-0.015439508,141.1379457,90.70882659,48.1993,-92.3015,48.1993,-702.2464,0.211982878,-645.284444,8752.978502
9/28/22,8450.8011,8771.9288,8450.3009,8734.5097,-283.7086,-3.2481,10921267,27402755189,8450.3009,8948.726,0.100356102,18.7826211,25.20791867,5.932025957,8689.8442,-0.02750833,131.3547583,99.8996439,0.5002,-321.1277,-321.1277,-1044.3524,0.266770952,-619.727204,8805.934198
9/27/22,8734.5097,8736.6098,8613.2056,8621.1055,113.4042,1.3154,10276006,26126021308,8607.5336,8948.726,37.21539518,28.1237536,28.42056746,27.53012589,8758.19328,-0.002704163,78.24329582,62.78460482,121.3041,-2.1001,121.3041,-853.5918,0.41396695,-555.647768,8876.487754
9/26/22,8621.1055,8820.7533,8607.5336,8770.984,-149.8785,-1.7088,11006659,27291691630,8607.5336,8948.726,3.977784968,23.57793281,28.56897439,13.59584965,8774.97022,-0.017534501,93.52159084,96.02221503,13.5719,-199.6478,-199.6478,-707.7125,0.395372582,-509.50855,8910.869819
9/23/22,8770.984,8948.726,8677.8952,8871.8207,-100.8367,-1.1366,10745732,28465264080,8665.4921,8948.726,37.24550628,33.37800673,31.06449518,38.00502984,8794.36502,-0.002658637,160.3099463,62.75449372,93.0888,-177.742,-177.742,-662.0718,0.433523447,-455.747872,8961.473812
9/22/22,8871.8207,8919.2288,8713.9427,8792.5465,79.2742,0.9016,10561619,27324555869,8665.4921,9057.5067,52.63288663,31.44425696,29.9077394,34.51729207,8805.89026,0.007487084,222.5992609,47.36711337,157.878,-47.4081,157.878,-554.2802,0.374856162,-413.48886,8995.458964
9/21/22,8792.5465,8841.3212,8665.4921,8818.3944,-25.8479,-0.2931,9908624,26063330298,8665.4921,9361.5797,18.25264521,20.84994212,29.13948062,4.270865117,8831.03426,-0.004358239,255.1597134,81.74735479,127.0544,-48.7747,-48.7747,-1068.1894,0.144322785,-376.55843,9015.835547
9/20/22,8818.3944,8918.6687,8770.5151,8718.0795,100.3149,1.1507,10307133,28231293524,8668.0459,9361.5797,21.67861177,22.14859058,33.28424987,-0.122728023,8935.3657,-0.013090824,255.3667216,78.32138823,100.3149,-100.2743,100.3149,-1096.7556,0.137557978,-338.59091,9060.333325
9/19/22,8718.0795,8886.7991,8668.0459,8828.6102,-110.5307,-1.252,12099457,29794524062,8668.0459,9416.8591,6.68171982,22.38357998,38.85207952,-10.55341911,9047.38074,-0.036397412,250.1418007,93.31828018,50.0336,-168.7196,-168.7196,-1012.2495,0.033815455,-329.392026,9112.836414
9/16/22,8828.6102,9057.5067,8828.6102,8997.5407,-168.9305,-1.8775,13911628,33663753898,8828.6102,9416.8591,0,30.23451006,47.0863293,-3.469128423,9174.73508,-0.037725872,204.2154101,100,0,-228.8965,-228.8965,-1091.8079,0.039234881,-317.001256,9208.65337
9/15/22,8997.5407,9361.5797,8912.8321,9314.2037,-316.663,-3.3998,16545286,42525232657,8912.8321,9465.2916,15.33299726,45.35176509,55.51223892,25.03081742,9284.1189,-0.030867571,148.7128921,84.66700274,84.7086,-364.039,-364.039,-902.7938,0.06287953,-320.44124,9297.443313
9/14/22,9314.2037,9348.0199,9230.0801,9378.4696,-64.2659,-0.6852,12153368,29689247367,9230.0801,9465.2916,35.76508802,60.361149,60.59247583,59.89849533,9359.03364,-0.004790018,123.7521638,64.23491198,84.1236,-64.2659,-64.2659,-452.9777,0.534364879,-327.90374,9358.759911
9/13/22,9378.4696,9416.8591,9315.4763,9354.8512,23.6184,0.2525,12101269,30010810222,9061.3184,9465.2916,78.50798023,72.65917949,60.70813925,96.56125997,9356.65046,0.002331939,154.0991097,21.49201977,62.9933,-38.3895,62.9933,-289.8626,0.945631547,-334.256148,9357.78519
9/9/22,9354.8512,9383.9938,9265.9327,9375.5293,-20.6781,-0.2206,11887369,31732525447,8988.0306,9465.2916,76.85953807,69.73477912,54.73261913,99.7390991,9290.78582,0.006895582,155.5344301,23.14046193,88.9185,-29.1426,-29.1426,-227.6274,0.943636782,-334.704064,9346.847779
9/8/22,9375.5293,9465.2916,9362.3377,9372.1144,3.4149,0.0364,12442275,32392284403,8936.5333,9465.2916,83.02394497,66.17239964,47.23153914,104.0541207,9227.67672,0.016022731,165.6482899,16.97605503,13.1916,-89.7623,13.1916,-353.9744,1,-342.252766,9331.564175
9/7/22,9372.1144,9412.8584,9250.9013,9302.2878,69.8266,0.7506,14013654,40562894754,8936.5333,9412.8584,91.44617825,57.74662698,37.76110888,97.71766317,9152.74614,0.02396748,186.0942128,8.553821749,121.2131,-40.744,121.2131,-195.5349,0.844653568,-348.669534,9300.9496
9/6/22,9302.2878,9304.7633,9061.3184,9049.1464,253.1414,2.7974,16530546,43910392542,8936.5333,9362.9034,85.78333706,40.89685134,27.76834984,67.15385436,9092.1226,0.023115086,192.1799247,14.21666294,253.1414,-2.4755,253.1414,-366.0795,0.47213881,-349.162604,9281.743145
9/5/22,9049.1464,9110.8741,8988.0306,9039.3057,9.8407,0.1089,11771774,29565110404,8936.5333,9477.4945,20.81722312,18.45360849,21.20409908,12.9526273,9101.09052,-0.005707461,168.1316352,79.18277688,61.1158,-61.7277,61.1158,-460.8516,0.09948023,-317.286704,9272.745518
9/2/22,9039.3057,9078.4159,8936.5333,9000.8764,38.4293,0.427,11947960,29561667449,8936.5333,9477.4945,18.99810929,17.27180117,22.57934438,6.656714753,9181.94636,-0.015534905,166.5230845,81.00189071,102.7724,-39.1102,102.7724,-356.6316,0.257480906,-255.627822,9308.731377
9/1/22,9000.8764,9142.8909,8986.8702,9068.9967,-68.1203,-0.7511,11778127,30077745112,8986.8702,9490.2409,2.782482175,16.40864711,25.23311598,-1.240290636,9241.33198,-0.02601958,173.410687,97.21751783,14.0062,-142.0145,-142.0145,-274.2981,0.197290246,-201.53118,9372.664594
8/31/22,9068.9967,9362.9034,9022.5877,9347.1274,-278.1307,-2.9756,17931943,45101168708,9022.5877,9490.2409,9.923806787,23.22172958,29.64535042,10.37448789,9313.19492,-0.026220671,169.189474,90.07619321,46.409,-293.9067,-293.9067,-78.335,0.214018994,-115.663472,9451.559406
8/30/22,9347.1274,9477.4945,9320.8754,9453.4256,-106.2982,-1.1244,12982118,33459133412,9186.2422,9740.0371,29.05140513,29.87069097,32.85716084,23.89775124,9376.19676,-0.003100336,191.4301781,70.94859487,26.252,-130.3671,-130.3671,269.7742,0.197675517,-29.67275,9522.77727
8/29/22,9453.4256,9455.4304,9186.2422,9336.2338,117.1918,1.2552,15789494,40113864031,9186.2422,9797.7224,43.69453009,30.2803339,34.35039578,22.14021014,9450.84758,0.000272782,195.2159909,56.30546991,267.1834,-2.0048,267.1834,195.4681,0.216806287,29.15279,9552.932656
8/26/22,9336.2338,9490.2409,9313.4381,9360.1911,-23.9573,-0.2559,15548936,38940568872,9244.7361,9797.7224,16.54610612,23.5732358,36.38542672,-2.051146038,9515.26732,-0.018815396,198.0039167,83.45389388,22.7957,-154.0071,-154.0071,117.7436,0.170210819,67.622324,9567.013518
8/25/22,9360.1911,9430.1415,9244.7361,9384.0059,-23.8148,-0.2538,15984712,43697948488,9244.7361,9932.714,16.78178907,27.08680064,42.79152217,-4.322642433,9585.10874,-0.02346532,196.794218,83.21821093,115.455,-69.9504,-69.9504,148.515,0.120669971,110.501896,9633.456405
8/24/22,9384.0059,9740.0371,9368.1366,9720.3815,-336.3756,-3.4605,18061894,49340164577,9368.1366,9973.6013,2.621011597,32.23930642,50.64388294,-4.569846611,9699.8143,-0.03255819,171.5975106,97.3789884,15.8693,-356.0312,-356.0312,277.3646,0.123960444,169.035574,9704.121982
8/23/22,9720.3815,9797.7224,9690.279,9775.5243,-55.1428,-0.5641,15937663,49475801167,9590.7033,9973.6013,33.86755742,47.04845384,59.8461712,21.45301911,9810.73568,-0.009209725,103.4146405,66.13244258,30.1025,-77.3409,-77.3409,751.6728,0.273368195,211.793358,9760.481932
8/22/22,9775.5243,9775.5243,9590.7033,9685.4409,90.0834,0.9301,18444900,58696829117,9590.7033,9973.6013,48.2689907,53.63890205,66.24502988,28.42664638,9849.60524,-0.007521209,103.6913997,51.7310093,184.821,0,184.821,1011.3523,0.460806093,229.918394,9780.198449
8/19/22,9685.4409,9932.714,9682.3678,9933.7189,-248.278,-2.4993,19929353,66505888384,9682.3678,9973.6013,1.055201411,56.32385772,72.5480938,23.87538558,9857.6764,-0.017472221,98.72640088,98.94479859,3.0731,-248.278,-248.278,570.4716,0.43981624,231.481204,9784.133224
8/18/22,9933.7189,9973.6013,9897.7383,9938.6128,-4.8939,-0.0492,15653387,46934776277,9690.6516,9973.6013,85.90477389,83.95818588,80.66021184,90.55413398,9869.09188,0.006548426,62.52243891,14.09522611,35.9806,-39.8824,-39.8824,748.8696,0.557664437,233.451694,9807.260682
8/17/22,9938.6128,9956.3618,9852.8357,9914.7293,23.8835,0.2409,18271308,48789380508,9690.6516,9960.0818,92.03170246,82.98489188,79.01122481,90.93222601,9861.2865,0.007841401,91.24914938,7.968297541,85.7771,-17.749,85.7771,683.8909,0.696211283,209.475068,9775.623386
8/16/22,9914.7293,9960.0818,9834.4048,9815.8801,98.8492,1.007,18572938,52924596871,9690.6516,9960.0818,83.16725445,78.46148659,77.02439128,81.33567721,9822.80286,0.009358473,94.67360509,16.83274555,98.8492,-45.3525,98.8492,831.4694,0.64498134,181.847656,9743.291867
8/15/22,9815.8801,9836.0123,9690.6516,9742.5183,73.3618,0.753,15836247,46369334154,9614.1631,9898.0079,71.06594872,76.10860266,76.30584362,75.71412073,9794.36348,0.002196837,115.9038226,28.93405128,125.2285,-20.1322,125.2285,642.5085,0.651686259,150.365964,9720.527023
8/12/22,9742.5183,9898.0079,9738.6097,9894.692,-152.1737,-1.5379,15682037,43892404583,9500.3864,9898.0079,60.89507232,78.62992963,76.40446411,83.08086068,9764.3319,-0.002234008,130.8959678,39.10492768,3.9086,-155.4896,-155.4896,704.2869,0.658239576,145.992206,9698.107514
8/11/22,9894.692,9894.6992,9723.0609,9746.1946,148.4974,1.5236,18646340,52402361456,9398.9134,9894.6992,99.99854776,87.49735828,75.29173134,111.9086122,9732.6321,0.016651189,133.5111926,0.00145224,171.6311,-0.0072,171.6311,673.4687,0.943928928,146.251792,9685.155387
8/10/22,9746.1946,9795.5261,9707.6907,9772.5324,-26.3378,-0.2695,16046718,47815188675,9398.9134,9795.5261,87.56179517,81.24676354,69.18891787,105.3624549,9650.4722,0.009918934,113.5061709,12.43820483,38.5039,-49.3315,-49.3315,693.0384,0.919187982,144.876752,9639.590502
8/9/22,9772.5324,9774.0202,9614.1631,9665.7222,106.8102,1.105,18166270,56895607482,9398.9134,9774.0202,99.60336629,78.08924773,63.15999504,107.9477531,9597.02316,0.018287883,111.2408396,0.396633705,158.3693,-1.4878,158.3693,906.9509,1,153.037994,9607.450483
8/8/22,9665.7222,9674.2359,9500.3864,9584.0193,81.7029,0.8525,17786350,52259337246,9349.1975,9674.2359,97.38070948,67.33218845,55.69536869,90.60582795,9528.01506,0.014452868,107.5633072,2.619290521,165.3358,-8.5137,165.3358,525.7768,0.541167325,153.458678,9575.219891
8/5/22,9584.0193,9590.5546,9398.9134,9483.8925,100.1268,1.0558,19196054,56506541613,9349.1975,9668.3267,73.58204765,52.30792793,49.87695882,57.16986616,9521.30364,0.006586877,88.49798099,26.41795235,185.1059,-6.5353,185.1059,167.9792,0.491005342,153.281918,9558.681959
8/4/22,9483.8925,9572.1355,9429.9439,9478.9494,4.9431,0.0521,19318892,52901549845,9349.1975,9717.3967,36.58210012,41.67086807,48.66147426,27.6896557,9523.33198,-0.004141353,84.34807769,63.41789988,53.9486,-88.243,53.9486,-242.0314,0.255533561,184.048346,9555.604065
