date,close,high,low,pre_close,range,change,vol,turnover
2022-11-29,6779.1396,6811.1352,6504.5181,6331.4669,447.6727,7.0706,20719524,16499528340.1
2022-11-28,6331.4669,6374.3557,6217.2732,6416.8442,-85.3773,-1.3305,11793873,8762287527.2
2022-11-25,6416.8442,6437.4007,6105.066,6087.159,329.6852,5.4161,16526881,13273531898.4
2022-11-24,6087.159,6175.1871,5997.015,6052.3491,34.8099,0.5751,10402633,7806531824.5
2022-11-23,6052.3491,6157.0702,5981.7381,6012.1136,40.2355,0.6692,10831134,7369272588.3
2022-11-22,6012.1136,6129.8007,5901.0102,5937.6865,74.4271,1.2535,11214449,8368208291.6
2022-11-21,5937.6865,5942.3245,5805.2139,5968.6003,-30.9138,-0.5179,7053216,6135659403.3
2022-11-18,5968.6003,6062.647,5952.3062,6030.6606,-62.0603,-1.0291,8570340,7251525379.4
2022-11-17,6030.6606,6064.6926,5945.8472,6017.28,13.3806,0.2224,9361648,7713056458.2
2022-11-16,6017.28,6119.4592,5973.525,6152.207,-134.927,-2.1931,13767688,11474627912.1
2022-11-15,6152.207,6216.5741,6046.2648,6101.1229,51.0841,0.8373,13228689,13111413716.7
2022-11-14,6101.1229,6231.3225,6030.357,5935.5203,165.6026,2.79,16929643,12953054128.4
2022-11-11,5935.5203,5966.5297,5677.3625,5548.898,386.6223,6.9676,14782067,10889636906.0
2022-11-10,5548.898,5573.6033,5416.9731,5518.5858,30.3122,0.5493,7288384,6114927739.0
2022-11-09,5518.5858,5619.2137,5465.8429,5411.2543,107.3315,1.9835,8730297,7304473232.1
2022-11-08,5411.2543,5470.2309,5383.2421,5409.0792,2.1751,0.0402,6403902,4770109279.0
2022-11-07,5409.0792,5424.7408,5325.7233,5369.1007,39.9785,0.7446,7349597,5066076448.0
2022-11-04,5369.1007,5415.3884,5248.8332,5255.9188,113.1819,2.1534,8180911,5928321318.1
2022-11-03,5255.9188,5334.4703,5219.0239,5327.0683,-71.1495,-1.3356,6967062,5289139880.9
2022-11-02,5327.0683,5353.4171,5198.7214,5263.6467,63.4216,1.2049,7942741,6163151523.1
2022-11-01,5263.6467,5272.8801,5111.0596,5221.7442,41.9025,0.8025,9332301,7611950682.2
2022-10-31,5221.7442,5418.9665,5209.5611,5469.1523,-247.4081,-4.5237,9515429,7225189637.0
2022-10-28,5469.1523,5595.1095,5450.2435,5589.8962,-120.7439,-2.16,6734515,4625932218.5
2022-10-27,5589.8962,5632.8247,5529.5332,5525.5213,64.3749,1.165,6037706,4570518594.1
2022-10-26,5525.5213,5670.7676,5496.2751,5639.6109,-114.0896,-2.023,7848361,6194093875.0
2022-10-25,5639.6109,5714.6548,5624.2813,5688.6208,-49.0099,-0.8615,6261274,4929542487.8
2022-10-24,5688.6208,5863.0723,5673.1377,5895.1001,-206.4793,-3.5026,8337378,6166123764.4
2022-10-21,5895.1001,5998.7935,5860.9111,5872.149,22.9511,0.3908,7455109,6025166414.7
2022-10-20,5872.149,5931.3923,5832.8852,5912.0656,-39.9166,-0.6752,5709904,4377596212.8
2022-10-19,5912.0656,6007.7039,5908.4153,5941.0212,-28.9556,-0.4874,6863695,4858710401.6
2022-10-18,5941.0212,6052.8791,5901.9137,6009.6808,-68.6596,-1.1425,6522317,4986910450.1
2022-10-17,6009.6808,6025.2184,5836.3828,6036.3336,-26.6528,-0.4415,7225328,5607007844.2
2022-10-14,6036.3336,6194.5767,6013.4295,6032.0751,4.2585,0.0706,7720055,6067516463.1
2022-10-13,6032.0751,6146.5243,5936.6198,6171.3512,-139.2761,-2.2568,8079142,6331325569.1
2022-10-12,6171.3512,6176.0201,6013.0671,6056.1182,115.233,1.9028,6774006,4794341637.5
2022-10-11,6056.1182,6204.3228,6033.9151,6190.3602,-134.242,-2.1686,6013878,4668775246.0
2022-10-10,6190.3602,6340.0805,6126.9483,6140.0254,50.3348,0.8198,9353181,7231498704.1
2022-09-30,6140.0254,6204.6474,6016.0678,5974.5762,165.4492,2.7692,8278217,6146453230.0
2022-09-29,5974.5762,6119.1574,5944.7012,6086.5472,-111.971,-1.8396,6670100,4652970885.8
2022-09-28,6086.5472,6195.1106,6084.867,6183.7686,-97.2214,-1.5722,6238266,4300152992.5
2022-09-27,6183.7686,6196.8137,6046.1664,6152.159,31.6096,0.5138,7901863,5633495049.4
2022-09-26,6152.159,6297.2307,6143.5034,6194.3832,-42.2242,-0.6817,8106197,5362601299.0
2022-09-23,6194.3832,6326.9509,6172.5226,6187.6175,6.7657,0.1093,8154671,5684963034.2
2022-09-22,6187.6175,6280.8169,6116.2508,6276.1985,-88.581,-1.4114,6685816,5496613376.5
2022-09-21,6276.1985,6323.564,6137.413,6199.8573,76.3412,1.2313,6607683,5001642321.7
2022-09-20,6199.8573,6408.3633,6171.9397,6383.2979,-183.4406,-2.8738,8064404,7175525954.2
2022-09-19,6383.2979,6413.5185,6260.0024,6335.9739,47.324,0.7469,7420432,6381467766.7
2022-09-16,6335.9739,6594.8294,6335.9739,6596.871,-260.8971,-3.9549,11299255,9926546775.0
2022-09-15,6596.871,6643.9093,6474.5362,6432.3066,164.5644,2.5584,10347766,9446784000.9
2022-09-14,6432.3066,6550.0834,6401.2124,6453.4354,-21.1288,-0.3274,6108635,5503470508.6
2022-09-13,6453.4354,6579.3432,6432.3349,6590.3263,-136.8909,-2.0771,7820968,6983264020.0
2022-09-09,6590.3263,6598.6397,6340.6873,6367.1387,223.1876,3.5053,9907608,8936869060.2
2022-09-08,6367.1387,6407.4775,6275.9843,6368.6903,-1.5516,-0.0244,6712671,5514929107.5
2022-09-07,6368.6903,6402.5094,6291.5417,6364.1671,4.5232,0.0711,6574435,5384503723.4
2022-09-06,6364.1671,6382.6203,6230.7164,6226.3372,137.8299,2.2137,8992020,7164136900.2
2022-09-05,6226.3372,6234.5921,6123.7508,6143.5605,82.7767,1.3474,5934493,4774875221.7
2022-09-02,6143.5605,6208.0066,6094.6468,6199.5603,-55.9998,-0.9033,5590592,4614089973.4
2022-09-01,6199.5603,6292.8205,6129.2385,6169.8189,29.7414,0.482,7495772,5800739395.0
2022-08-31,6169.8189,6208.7383,6108.5898,6129.3506,40.4683,0.6602,6978465,5842116234.8
2022-08-30,6129.3506,6159.2087,6075.1663,6070.2871,59.0635,0.973,4939087,4218972025.8
2022-08-29,6070.2871,6081.2325,5943.3414,6057.9875,12.2996,0.203,4555355,3799205541.4
2022-08-26,6057.9875,6111.7292,6020.51,6110.4143,-52.4268,-0.858,3995342,3551715886.4
2022-08-25,6110.4143,6125.7306,6010.5236,5996.7352,113.6791,1.8957,5233779,4712142223.5
2022-08-24,5996.7352,6112.3484,5995.6017,6087.5992,-90.864,-1.4926,4595815,4101305660.3
2022-08-23,6087.5992,6143.2174,6032.6996,6128.2912,-40.692,-0.664,3905592,3637973260.7
2022-08-22,6128.2912,6171.3369,6063.0438,6103.7836,24.5076,0.4015,5433739,4937936288.2
2022-08-19,6103.7836,6153.9376,5999.8156,6006.1641,97.6195,1.6253,5624888,5534315876.9
2022-08-18,6006.1641,6076.525,5969.9762,6064.7238,-58.5597,-0.9656,4265800,3781697846.6
2022-08-17,6064.7238,6115.3499,5919.0556,5948.9294,115.7944,1.9465,6463908,5920815131.0
2022-08-16,5948.9294,6008.7575,5895.5083,5861.179,87.7504,1.4971,5826381,5350400711.9
2022-08-15,5861.179,5958.7236,5847.429,5869.3952,-8.2162,-0.14,4942865,4580053147.2
2022-08-12,5869.3952,5887.5914,5787.031,5821.4293,47.9659,0.824,4308098,4139028228.6
2022-08-11,5821.4293,5835.3643,5766.9897,5742.8212,78.6081,1.3688,4634264,4196812075.7
2022-08-10,5742.8212,5808.5243,5726.4392,5794.4206,-51.5994,-0.8905,4493991,4513879663.6
2022-08-09,5794.4206,5854.2693,5746.3198,5813.1825,-18.7619,-0.3227,4491176,4154360030.9
